the, 5831
people, 362
america, 328
new, 302
must, 288
every, 239
american, 235
one, 206
world, 199
help, 197
make, 195
us, 186
united, 184
many, 183
work, 183
would, 183
great, 173
security, 166
iraq, 165
nation, 160
americans, 157
iraqi, 153
also, 150
thank, 146
good, 146
government, 146
congress, 138
states, 135
freedom, 131
know, 131
(, 129
terrorists, 127
health, 124
country, 120
free, 119
nations, 118
want, 116
war, 114
human, 110
like, 109
need, 107
time, 99
yet, 98
better, 97
middle, 96
women, 96
going, 95
men, 95
take, 94
tax, 94
first, 93
world., 92
come, 91
way, 91
could, 91
children, 90
country., 89
federal, 89
years, 88
last, 87
hope, 87
citizens, 86
$, 86
"americas", 85
continue, 85
1, 85
military, 85
working, 83
believe, 82
ask, 81
members, 81
"weve", 80
peace, 80
al, 80
long, 79
weapons, 79
power, 78
president, 77
never, 77
see, 77
get, 77
support, 77
forces, 77
life, 76
day, 76
important, 73
tonight, 73
terrorist, 73
two, 72
across, 71
give, 71
made, 71
right, 70
economic, 70
national, 69
future, 69
care, 69
america., 68
workers, 68
even, 67
build, 67
hard, 67
regime, 67
back, 66
may, 66
economy, 65
fight, 65
troops, 64
protect, 63
bring, 62
state, 61
"thats", 61
people., 61
without, 60
million, 60
know
, 60
fellow, 59
leaders, 59
lives, 59
together, 59
saddam, 59
much, 58
liberty, 58
best, 58
democracy, 57
today
, 57
law, 57
iraq
, 57
live, 55
meet, 55
system, 55
social, 54
find, 54
bill, 54
seniors, 54
provide, 53
different, 53
year
, 53
lead, 52
child, 52
show, 52
still, 52
"ive", 52
medical, 52
nuclear, 52
border, 52
iraq., 52
iraqis, 52
got, 51
act, 51
plan, 51
next, 51
people
, 50
cause, 50
freedom., 50
local, 50
appreciate, 50
financial, 50
terror, 50
defend, 49
keep, 49
mass, 49
history, 49
sure, 49
always, 49
progress, 49
"theres", 49
reform, 48
set, 48
"dont", 48
use, 48
around, 48
three, 48
country
, 47
global, 47
research, 47
year, 47
september, 47
qaeda, 47
god, 46
making, 46
part, 46
money, 46
), 46
job, 46
east, 46
end, 45
enemies, 45
serve, 45
go, 45
lot, 45
stem, 45
greater, 44
honor, 44
secretary, 44
afghanistan, 44
threat, 44
jobs, 44
toward, 43
funding, 43
ensure, 43
create, 43
today, 43
"theyre", 43
families, 43
seen, 43
america
, 42
clear, 42
needs, 42
time
, 42
home, 42
given, 42
path, 42
let, 42
"iraqs", 42
drug, 42
since, 41
relief, 41
millions, 41
enemy, 41
coalition, 41
medicare, 41
hussein, 41
q, 41
stand, 40
pass, 40
nearly, 40
place, 40
able, 40
"hes", 40
forward, 40
another, 40
left, 40
opportunity, 40
intelligence, 40
democratic, 39
years
, 39
allies, 39
strong, 39
think, 39
life., 39
look, 39
house, 39
terror., 39
called, 38
trust, 38
allow, 38
us., 38
ago
, 38
used, 38
peace., 38
countries, 38
laughter., 38
public, 37
goal, 37
efforts, 37
proud, 37
difficult, 37
world
, 37
face, 37
four, 37
immigration, 37
young, 36
small, 36
advance, 36
mr., 36
political, 36
you
, 36
"well", 36
taking, 35
effort, 35
requires, 35
seek, 35
administration, 35
thousands, 35
far, 35
violence, 35
taken, 35
share, 34
times, 34
responsibility, 34
call, 34
program, 34
bless, 34
said, 34
save, 34
join, 34
number, 34
understand, 34
school, 34
including, 34
already, 34
found, 34
homeland, 34
helping, 34
commitment, 33
passed, 33
put, 33
governments, 33
temporary, 33
promise, 32
done, 32
city, 32
international, 32
training, 32
respect, 32
time., 32
pay, 32
past, 32
terror
, 32
say, 32
increase, 32
secure, 32
freedom
, 31
confront, 31
leave, 31
behind, 31
strategy, 31
return, 31
friends, 31
council, 31
tonight
, 31
days, 31
foreign, 31
act
, 31
economy., 31
decisions, 31
justice, 30
send, 30
within, 30
expect, 30
income, 30
cells, 30
trade, 30
years., 30
fighting, 30
nation., 29
spirit, 29
schools, 29
move, 29
courage, 29
government., 29
change, 29
worked, 29
general, 29
aids, 29
energy, 29
congress
, 29
cut, 29
moral, 29
attack, 29
saw, 29
full, 29
prevent, 29
